================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
192.168.0.15:51007         <-> 198.90.20.111:80              1257 1,885 kB      978 73 kB        2235 1,958 kB    113.588792000        45.4035
192.168.0.15:50959         <-> 199.27.79.193:80              1209 1,816 kB      959 71 kB        2168 1,887 kB     21.074236000        34.8633
192.168.0.15:51008         <-> 198.90.20.111:80              1159 1,739 kB      947 70 kB        2106 1,810 kB    113.588792000        46.0179
192.168.0.15:51001         <-> 199.27.79.193:80              1145 1,725 kB      927 66 kB        2072 1,791 kB     63.066042000        26.6088
192.168.0.15:51009         <-> 198.90.20.111:80               687 1,028 kB      572 44 kB        1259 1,072 kB    113.605175000        28.7983
192.168.0.15:51014         <-> 198.90.20.111:80               664 991 kB        566 44 kB        1230 1,036 kB    114.020474000        25.0538
192.168.0.15:51006         <-> 198.90.20.111:80               654 970 kB        520 40 kB        1174 1,011 kB    113.578039000        25.4942
192.168.0.15:51000         <-> 199.27.79.193:80               375 561 kB        323 25 kB         698 586 kB       58.731642000         4.4552
192.168.0.15:50999         <-> 199.27.79.193:80               206 303 kB        180 15 kB         386 319 kB       56.792636000         1.9390
192.168.0.15:51036         <-> 192.168.0.9:5000                98 144 kB         70 5,705 bytes     168 150 kB      243.325633000         0.1777
192.168.0.15:50958         <-> 199.27.79.193:80                73 93 kB          67 12 kB         140 105 kB       20.145401000        14.9846
192.168.0.15:51035         <-> 192.168.0.9:5000                80 116 kB         56 4,756 bytes     136 121 kB      243.281602000         0.1398
192.168.0.15:50983         <-> 173.194.127.141:80              71 99 kB          59 4,392 bytes     130 104 kB       27.831547000        31.4188
192.168.0.15:50997         <-> 199.27.79.193:80                62 87 kB          37 3,826 bytes      99 90 kB        56.126972000        11.0492
192.168.0.15:51034         <-> 173.194.127.229:443             23 13 kB          32 9,731 bytes      55 22 kB       234.384001000         6.7568
192.168.0.15:51005         <-> 198.90.20.111:80                25 22 kB          28 4,757 bytes      53 27 kB       113.019956000         2.8111
192.168.0.15:50960         <-> 31.13.70.1:443                  26 15 kB          25 3,151 bytes      51 19 kB        21.329724000        32.8418
192.168.0.15:51028         <-> 173.194.127.227:443             18 11 kB          29 7,603 bytes      47 18 kB       172.217100000        37.9452
192.168.0.15:51003         <-> 198.41.208.140:80               21 25 kB          23 2,718 bytes      44 28 kB       102.780857000        32.8878
192.168.0.15:51018         <-> 173.194.127.55:80               20 24 kB          16 1,494 bytes      36 26 kB       115.102391000        30.4286
192.168.0.15:50973         <-> 199.16.158.186:443              15 5,156 bytes      19 2,640 bytes      34 7,796 bytes    25.665085000        31.5233
192.168.0.15:51002         <-> 104.74.158.12:80                18 20 kB          15 1,236 bytes      33 21 kB        63.175099000        30.4746
192.168.0.15:50974         <-> 199.16.158.186:443              14 5,082 bytes      18 2,574 bytes      32 7,656 bytes    25.665085000        31.5223
192.168.0.15:51016         <-> 173.194.127.55:80               13 15 kB          19 1,749 bytes      32 16 kB       115.101879000        30.4439
192.168.0.15:51020         <-> 74.125.203.156:80               16 17 kB          16 2,534 bytes      32 20 kB       115.146935000        31.5115
192.168.0.15:50956         <-> 198.41.209.137:80               13 14 kB          15 1,556 bytes      28 16 kB        13.669693000        31.2704
192.168.0.15:51032         <-> 173.194.127.231:443             11 5,123 bytes      16 1,409 bytes      27 6,532 bytes   210.917057000         0.2191
192.168.0.15:50954         <-> 17.172.239.31:443               12 3,973 bytes      13 2,531 bytes      25 6,504 bytes     1.353792000         2.6631
192.168.0.15:51015         <-> 173.194.127.55:80               13 14 kB          12 1,230 bytes      25 15 kB       115.100855000        30.4291
192.168.0.15:51017         <-> 173.194.127.55:80               13 14 kB          12 1,221 bytes      25 15 kB       115.101880000        30.4306
192.168.0.15:51019         <-> 173.194.127.55:80               12 14 kB          13 1,296 bytes      25 15 kB       115.102904000        30.4470
192.168.0.15:50989         <-> 173.194.127.237:443              9 4,925 bytes      15 2,069 bytes      24 6,994 bytes    28.751611000        30.5064
192.168.0.15:50980         <-> 173.194.127.122:80              11 11 kB          10 1,759 bytes      21 12 kB        27.325115000        30.8008
